Year,Month,Day,CA Avg,US Avg
2020,3,9,3.403,2.468
2020,3,2,3.435,2.514
2020,2,24,3.443,2.555
2020,2,17,3.441,2.518
2020,2,10,3.449,2.511
2020,2,3,3.455,2.546
2020,1,27,3.467,2.595
2020,1,20,3.487,2.625
2020,1,13,3.497,2.657
2020,1,6,3.505,2.665
2019,12,30,3.517,2.658
2019,12,23,3.536,2.621
2019,12,16,3.588,2.627
2019,12,9,3.657,2.652
2019,12,2,3.75,2.667
2019,11,25,3.825,2.672
2019,11,18,3.918,2.688
2019,11,11,3.999,2.711
2019,11,4,4.035,2.702
2019,10,28,4.021,2.692
2019,10,21,4.106,2.735
2019,10,14,4.166,2.727
2019,10,7,4.169,2.742
2019,9,30,4.034,2.737
2019,9,23,3.689,2.741
2019,9,16,3.571,
2019,9,9,3.57,2.638
2019,9,2,3.569,2.651
2019,8,26,3.514,2.661
2019,8,19,3.535,2.684
2019,8,12,3.56,
2019,8,5,3.612,2.772
2019,7,29,3.625,2.798
2019,7,22,3.642,2.833
2019,7,15,3.679,
2019,7,8,3.701,2.827
2019,7,1,3.695,2.798
2019,6,24,3.683,2.741
2019,6,17,3.749,2.759
2019,6,10,3.816,2.821
2019,6,3,3.898,2.893
2019,5,27,3.949,2.909
2019,5,20,4.006,2.939
2019,5,13,4.041,2.954
2019,5,6,4.08,2.983
2019,4,29,4.058,2.972
2019,4,22,4.021,2.926
2019,4,15,3.996,2.912
2019,4,8,3.792,2.826
2019,4,1,3.602,
2019,3,25,3.463,2.701
2019,3,18,3.338,2.625
2019,3,11,3.297,2.549
2019,3,4,3.271,2.502
2019,2,25,3.259,2.471
2019,2,18,3.241,
2019,2,11,3.235,2.361
2019,2,4,3.208,2.341
2019,1,28,3.206,2.343
2019,1,21,3.224,
2019,1,14,3.237,2.338
2019,1,7,3.261,2.329
2018,12,31,3.296,2.358
2018,12,24,3.332,2.413
2018,12,17,3.345,
2018,12,10,3.394,2.511
2018,12,3,3.473,2.544
2018,11,26,3.555,
2018,11,19,3.599,
2018,11,12,3.656,2.773
2018,11,5,3.716,
2018,10,29,3.754,2.896
2018,10,22,3.783,2.925
2018,10,15,3.783,2.961
2018,10,8,3.781,2.984
2018,10,1,3.699,2.947
2018,9,24,3.601,2.923
2018,9,17,3.594,2.921
2018,9,10,3.585,2.912
2018,9,3,3.572,2.903
2018,8,27,3.546,2.906
2018,8,20,3.538,
2018,8,13,3.563,2.921
2018,8,6,3.576,
2018,7,30,3.579,2.924
2018,7,23,3.588,2.911
2018,7,16,3.609,2.943
2018,7,9,3.626,2.937
2018,7,2,3.622,2.924
2018,6,25,3.634,2.913
2018,6,18,3.664,2.958
2018,6,11,3.688,2.989
2018,6,4,3.704,3.018
2018,5,28,3.708,3.039
2018,5,21,3.689,2.999
2018,5,14,3.672,2.949
2018,5,7,3.69,
2018,4,30,3.667,2.961
2018,4,23,3.626,2.914
2018,4,16,3.611,2.863
2018,4,9,3.58,2.811
2018,4,2,3.6,2.817
2018,3,26,3.547,2.764
2018,3,19,3.492,2.716
2018,3,12,3.451,2.677
2018,3,5,3.414,2.679
2018,2,26,3.418,2.666
2018,2,19,3.408,2.676
2018,2,12,3.416,2.724
2018,2,5,3.428,2.753
2018,1,29,3.355,2.723
2018,1,22,3.268,2.684
2018,1,15,3.256,2.673
2018,1,8,3.258,2.639
2018,1,1,3.206,2.637
2017,12,25,3.191,2.589
2017,12,18,3.163,2.568
2017,12,11,3.177,2.601
2017,12,4,3.218,2.617
2017,11,27,3.258,2.648
2017,11,20,3.282,2.683
2017,11,13,3.335,2.706
2017,11,6,3.302,2.673
2017,10,30,3.125,2.602
2017,10,23,3.12,2.594
2017,10,16,3.133,2.605
2017,10,9,3.139,2.622
2017,10,2,3.166,2.682
2017,9,25,3.199,2.701
2017,9,18,3.219,
2017,9,11,3.242,
2017,9,4,3.221,2.794
2017,8,28,3.091,2.513
2017,8,21,3.084,2.474
2017,8,14,3.071,2.497
2017,8,7,3.047,2.492
2017,7,31,3.036,2.467
2017,7,24,2.995,2.426
2017,7,17,2.988,2.392
