Year,Month,CA Avg
2020,3,3.262
2020,2,3.447
2020,1,3.489
2019,12,3.61
2019,11,3.944
2019,10,4.116
2019,9,3.687
2019,8,3.555
2019,7,3.668
2019,6,3.787
2019,5,4.019
2019,4,3.894
2019,3,3.342
2019,2,3.236
2019,1,3.232
2018,12,3.368
2018,11,3.632
2018,10,3.76
2018,9,3.588
2018,8,3.556
2018,7,3.605
2018,6,3.673
2018,5,3.69
2018,4,3.617
2018,3,3.476
2018,2,3.418
2018,1,3.269
2017,12,3.187
2017,11,3.294
2017,10,3.137
2017,9,3.22
2017,8,3.073
2017,7,3.005
2017,6,3.08
2017,5,3.101
2017,4,3.067
2017,3,3.059
2017,2,2.946
2017,1,2.848
2016,12,2.738
2016,11,2.788
2016,10,2.862
2016,9,2.803
2016,8,2.745
2016,7,2.911
2016,6,2.93
2016,5,2.855
2016,4,2.822
2016,3,2.679
2016,2,2.477
2016,1,2.823
2015,12,2.776
2015,11,2.819
2015,10,2.945
2015,9,3.175
2015,8,3.594
2015,7,3.812
2015,6,3.596
2015,5,3.804
2015,4,3.261
2015,3,3.388
2015,2,2.756
2015,1,2.596
2014,12,2.916
2014,11,3.234
2014,10,3.585
2014,9,3.821
2014,8,3.961
2014,7,4.11
2014,6,4.163
2014,5,4.22
2014,4,4.21
2014,3,3.984
2014,2,3.726
2014,1,3.666
2013,12,3.642
2013,11,3.641
2013,10,3.829
2013,9,3.989
2013,8,3.919
2013,7,4.056
2013,6,4.05
2013,5,4.051
2013,4,4.031
2013,3,4.192
2013,2,4.127
2013,1,3.678
2012,12,3.628
2012,11,3.893
2012,10,4.458
2012,9,4.211
2012,8,4.109
2012,7,3.821
2012,6,4.133
2012,5,4.353
2012,4,4.292
2012,3,4.414
2012,2,4.027
2012,1,3.747
2011,12,3.648
2011,11,3.848
2011,10,3.89
2011,9,3.971
2011,8,3.823
2011,7,3.844
2011,6,3.965
2011,5,4.229
2011,4,4.206
2011,3,4.002
2011,2,3.576
2011,1,3.389
2010,12,3.297
2010,11,3.205
2010,10,3.146
2010,9,3.064
2010,8,3.186
2010,7,3.171
2010,6,3.134
2010,5,3.136
2010,4,3.138
2010,3,3.104
2010,2,2.993
2010,1,3.065
2009,12,2.964
2009,11,3.006
2009,10,3.062
2009,9,3.169
2009,8,3.057
2009,7,2.92
2009,6,2.969
2009,5,2.531
2009,4,2.377
2009,3,2.239
2009,2,2.265
2009,1,2.051
2008,12,1.871
2008,11,2.507
2008,10,3.44
2008,9,3.842
2008,8,4.128
2008,7,4.511
2008,6,4.531
2008,5,4.015
2008,4,3.846
2008,3,3.609
2008,2,3.231
2008,1,3.296
2007,12,3.353
2007,11,3.394
2007,10,3.112
2007,9,2.922
2007,8,2.948
2007,7,3.174
2007,6,3.329
2007,5,3.485
2007,4,3.339
2007,3,3.105
2007,2,2.713
2007,1,2.616
2006,12,2.587
2006,11,2.508
2006,10,2.593
2006,9,2.937
2006,8,3.212
2006,7,3.26
2006,6,3.26
2006,5,3.337
2006,4,2.925
2006,3,2.624
2006,2,2.54
2006,1,2.424
2005,12,2.319
2005,11,2.57
2005,10,2.926
2005,9,3.032
2005,8,2.721
2005,7,2.559
2005,6,2.41
2005,5,2.52
2005,4,2.596
2005,3,2.346
2005,2,2.163
2005,1,2.016
2004,12,2.143
2004,11,2.35
2004,10,2.376
2004,9,2.115
2004,8,2.131
2004,7,2.233
2004,6,2.322
2004,5,2.298
2004,4,2.185
2004,3,2.143
2004,2,1.914
2004,1,1.722
2003,12,1.681
2003,11,1.74
2003,10,1.839
2003,9,2.068
2003,8,1.913
2003,7,1.789
2003,6,1.809
2003,5,1.89
2003,4,2.092
2003,3,2.15
2003,2,1.853
2003,1,1.662
2002,12,1.585
2002,11,1.624
2002,10,1.579
2002,9,1.627
2002,8,1.637
2002,7,1.648
2002,6,1.633
2002,5,1.617
2002,4,1.657
2002,3,1.507
2002,2,1.319
2002,1,1.231
2001,12,1.204
2001,11,1.403
2001,10,1.592
2001,9,1.708
2001,8,1.608
2001,7,1.817
2001,6,1.975
2001,5,1.993
2001,4,1.837
2001,3,1.738
2001,2,1.682
2001,1,1.646
2000,12,1.726
2000,11,1.811
2000,10,1.856
2000,9,1.869
2000,8,1.72
2000,7,1.754
2000,6,1.669
2000,5,
