Year,Month,Day,Price
2020,3,30,3.031
2020,3,23,3.142
2020,3,16,3.298
2020,3,9,3.403
2020,3,2,3.435
2020,2,24,3.443
2020,2,17,3.441
2020,2,10,3.449
2020,2,3,3.455
2020,1,27,3.467
2020,1,20,3.487
2020,1,13,3.497
2020,1,6,3.505
2019,12,30,3.517
2019,12,23,3.536
2019,12,16,3.588
2019,12,9,3.657
2019,12,2,3.75
2019,11,25,3.825
2019,11,18,3.918
2019,11,11,3.999
2019,11,4,4.035
2019,10,28,4.021
2019,10,21,4.106
2019,10,14,4.166
2019,10,7,4.169
2019,9,30,4.034
2019,9,23,3.689
2019,9,16,3.571
2019,9,9,3.57
2019,9,2,3.569
2019,8,26,3.514
2019,8,19,3.535
2019,8,12,3.56
2019,8,5,3.612
2019,7,29,3.625
2019,7,22,3.642
2019,7,15,3.679
2019,7,8,3.701
2019,7,1,3.695
2019,6,24,3.683
2019,6,17,3.749
2019,6,10,3.816
2019,6,3,3.898
2019,5,27,3.949
2019,5,20,4.006
2019,5,13,4.041
2019,5,6,4.08
2019,4,29,4.058
2019,4,22,4.021
2019,4,15,3.996
2019,4,8,3.792
2019,4,1,3.602
2019,3,25,3.463
2019,3,18,3.338
2019,3,11,3.297
2019,3,4,3.271
2019,2,25,3.259
2019,2,18,3.241
2019,2,11,3.235
2019,2,4,3.208
2019,1,28,3.206
2019,1,21,3.224
2019,1,14,3.237
2019,1,7,3.261
2018,12,31,3.296
2018,12,24,3.332
2018,12,17,3.345
2018,12,10,3.394
2018,12,3,3.473
2018,11,26,3.555
2018,11,19,3.599
2018,11,12,3.656
2018,11,5,3.716
2018,10,29,3.754
2018,10,22,3.783
2018,10,15,3.783
2018,10,8,3.781
2018,10,1,3.699
2018,9,24,3.601
2018,9,17,3.594
2018,9,10,3.585
2018,9,3,3.572
2018,8,27,3.546
2018,8,20,3.538
2018,8,13,3.563
2018,8,6,3.576
2018,7,30,3.579
2018,7,23,3.588
2018,7,16,3.609
2018,7,9,3.626
2018,7,2,3.622
2018,6,25,3.634
2018,6,18,3.664
2018,6,11,3.688
2018,6,4,3.704
2018,5,28,3.708
2018,5,21,3.689
2018,5,14,3.672
2018,5,7,3.69
2018,4,30,3.667
2018,4,23,3.626
2018,4,16,3.611
2018,4,9,3.58
2018,4,2,3.6
2018,3,26,3.547
2018,3,19,3.492
2018,3,12,3.451
2018,3,5,3.414
2018,2,26,3.418
2018,2,19,3.408
2018,2,12,3.416
2018,2,5,3.428
2018,1,29,3.355
2018,1,22,3.268
2018,1,15,3.256
2018,1,8,3.258
2018,1,1,3.206
2017,12,25,3.191
2017,12,18,3.163
2017,12,11,3.177
2017,12,4,3.218
2017,11,27,3.258
